TOKEN_ID,TOKEN_NAME,Color,Meka Type,Helmet,Eyes,Mask,Jaws,Arms,Chest,Colors,Weapon,Material,Legendary
1875,Meka #1875,Pastel Blue,OG Meka,OG Delta Elite,OG Blue E4,OG Trooper M1,OG Assault jaw,OG Squadron 3,OG Trooper C1,3.0,OG Solid Blade,,
1876,Meka #1876,,OG Meka,OG Quartz Heavy,OG Rose E1,OG Trooper M2,OG Assault jaw,OG Trooper A2,OG Trooper C1,0.0,OG Dawn Sword,Ghost,
1877,Meka #1877,Black,OG Meka,OG Quartz Heavy,OG Rose E1,OG Mantis,OG Trooper S1,OG Solid Tank,OG Heavy C2,2.0,,,
1878,Meka #1878,Light Green,OG Meka,OG Delta Trooper,OG Rose E1,OG Monkey R-9,OG Rocket jaw,OG Trooper A1,OG Trooper C1,2.0,OG Gatling Gun,,
1879,Meka #1879,Light Green,Mirage,MI Sonar,MI White Visor,MI Racer M1,MI Sonic J2,MI Racer A1,MI Radar C1,2.0,MI Ray guns,,
1880,Meka #1880,Blood Red,OG Meka,OG Radiant Trooper,OG Rose E1,OG Sphere,OG Trooper S2,OG Trooper A2,OG Trooper C1,5.0,,,
1881,Meka #1881,Blurple,Mirage,MI Racer,MI Pink Visor,MI Kaiman,MI Racer W1,MI Racer A2,MI Racer C2,2.0,,,
1882,Meka #1882,Aqua Lite,F9,F9 Ronin H1,F9 Green E21,F9 Assault,F9 Assault,F9 Jingasa A2,F9 Bastion C1,3.0,GAI Enten,Gold Weapon,
1883,Meka #1883,Pastel Blue,OG Meka,OG Radiant Trooper,OG Rose E1,OG Mantis,OG Trooper S1,OG Trooper A1,OG Trooper C1,4.0,,,
1884,Meka #1884,Blue Grey,Mirage,MI Racer,MI Pink Visor,MI Falcon M0,MI Radar W1,MI Radar A1,MI Racer C1,4.0,,,
1885,Meka #1885,Pastel Blue,OG Meka,OG Darya Trooper,OG Rose E1,OG Sphere,OG Assault jaw,OG Trooper A1,OG Trooper C1,3.0,,,
1886,Meka #1886,Blood Red,OG Meka,OG Quartz Heavy,OG Pink E0,OG Monkey R-7,OG Sabotage S7,OG Squadron 3,OG Trooper C1,4.0,,,
1887,Meka #1887,Blood Red,OG Meka,OG Delta Heavy,OG Rose E1,OG Knight,OG Trooper S1,OG Trooper A2,OG Trooper C1,4.0,,,
1888,Meka #1888,Pastel Blue,Gādian,GAI Jingasa H1,Pink Circle,GAI Jingasa M1,Bastion J1,GAI Jingasa A1,GAI Sōhei C2,4.0,GAI Kochi x2,,
1889,Meka #1889,Pastel Blue,Mirage,MI Radar,MI Pink Visor,MI Salamender,MI Falcon W1,MI Radar A1,MI Radar C1,3.0,,,
1890,Meka #1890,,Mirage,MI Eagle,MI White Visor,MI Radar M1,MI Falcon W1,MI Radar A1,MI Radar C1,0.0,,Camo green,
1891,Meka #1891,Dark Grey,OG Meka,OG Radiant Trooper,OG White E13,OG Trooper M2,OG Trooper S1,OG Trooper A1,OG Trooper C1,4.0,,,
1892,Meka #1892,Dark Grey,OG Meka,OG Delta Elite,OG Rose E1,OG Last Breath,OG Trooper S2,OG Trooper A2,OG Trooper C2,4.0,,Silver Helmet,
1893,Meka #1893,Red,OG Meka,OG Darya Trooper,OG Green E21,OG Trooper M1,OG Sabotage S3,OG Squadron 3,OG Heavy C2,3.0,OG Thunder Gun,,
1894,Meka #1894,Dark Grey,Mirage,MI Eagle,MI Aqua Eye,MI Racer M2,MI Storm,MI Radar A1,MI Racer C1,4.0,,Gold Helmet,
1895,Meka #1895,Dark Grey,OG Meka,OG Delta Elite,OG Rose E1,OG Filter,OG Sabotage S3,OG Trooper A1,OG Trooper C1,3.0,,Silver Helmet,
1896,Meka #1896,Sky Blue,OG Meka,OG Delta Trooper,OG Rose E1,OG Pain,OG Assault jaw,OG Trooper A1,OG Trooper C1,4.0,,,
1897,Meka #1897,White,OG Meka,OG Radiant Heavy,OG Violet E1,OG Monkey R-9,OG Assault jaw,OG Squadron 4,OG Trooper C1,2.0,,,
1898,Meka #1898,Light Green,Gādian,GAI Tetra H2,Red Hexa,GAI Youma,Bastion J2,GAI Youma,GAI Sōhei C1,3.0,,,
1899,Meka #1899,Blue Grey,Mirage,MI Eagle,MI Aqua Eye,MI Salamender,MI Falcon W1,MI Racer A2,MI Sonic C1,3.0,,,
1900,Meka #1900,Blue Grey,F9,F9 Spikes,F9 Red E21,F9 Heavy,F9 Brackyura,F9 Bastion,F9 Fortress C1,3.0,GAI Katana x2,,
1901,Meka #1901,Pastel Blue,Mirage,MI Racer,MI Pink Visor,MI Racer M1,MI Racer W1,MI Racer A2,MI Racer C1,4.0,MI Ray guns,,
1902,Meka #1902,Dark Grey,OG Meka,OG Delta Trooper,OG Blue E4,OG Heavy,OG Trooper S1,OG Trooper A2,OG Trooper C1,4.0,,,
1903,Meka #1903,Aqua Lite,Gādian,GAI Jingasa H1,Pink Delta,GAI Jingasa M1,GAI Jingasa J1,GAI Youma,GAI Sōhei C2,3.0,,,
1904,Meka #1904,Sky Blue,Mirage,MI Sonar,MI Pink Visor,MI Kaiman,MI Racer W1,MI Racer A2,MI Racer C1,4.0,,,
1905,Meka #1905,Pastel Blue,OG Meka,OG Quartz Trooper,OG Rose E1,OG Trooper M2,OG Trooper S1,OG Trooper A1,OG Trooper C2,3.0,,,
1906,Meka #1906,Blurple,OG Meka,OG Darya Master,OG Rose E1,OG Trooper M1,OG Trooper S2,OG Trooper A2,OG Heavy C1,4.0,,,
1907,Meka #1907,,OG Meka,OG Radiant Elite,OG Blue E4,OG Trooper M1,OG Trooper S1,OG Trooper A2,OG Trooper C1,0.0,OG Omega x2,Carbon,
1908,Meka #1908,Sky Blue,Mirage,MI Racer,MI Aqua Eye,MI Racer M2,MI Sonic J1,MI Racer A1,MI Racer C1,4.0,,,
1909,Meka #1909,Pink,F9,F9 Spikes,F9 Green E4,F9 Assault,F9 Brackyura,F9 Jingasa A2,F9 Bastion C1,3.0,,,
1910,Meka #1910,Pastel Blue,OG Meka,OG Darya Master,OG Rose E1,OG Trooper M2,OG Rocket jaw,OG Squadron 4,OG Trooper C1,3.0,,,
1911,Meka #1911,Orange,F9,F9 Spikes,F9 Green E4,F9 Heavy,F9 Assault,F9 Jingasa A1,F9 Bastion C1,4.0,,,
1912,Meka #1912,Blood Red,Gādian,GAI Janjin H1,White Square,GAI Jingasa M1,Brachyura,GAI Sōhei A1,GAI Sōhei C2,3.0,GAI Katana,,
1913,Meka #1913,Blood Red,Mirage,MI Racer,MI Aqua Eye,MI Racer M1,MI Racer W2,MI Racer A1,MI Racer C1,3.0,,,
1914,Meka #1914,Blurple,OG Meka,OG Delta Trooper,OG Rose E1,OG Last Breath,OG Trooper S1,OG Trooper A1,OG Trooper C1,4.0,,,
1915,Meka #1915,Sky Blue,OG Meka,OG Rombus Trooper,OG Violet E1,OG Trooper M1,OG Trooper S2,OG Trooper A1,OG Trooper C1,4.0,,,
1916,Meka #1916,Orange,OG Meka,OG Quartz Trooper,OG Blue E4,OG Trooper M1,OG Trooper S2,OG Squadron 3,OG Trooper C2,3.0,OG Cannons,,
1917,Meka #1917,White,OG Meka,OG Oblong Elite,OG Violet E1,OG Filter,OG Trooper S1,OG Squadron 4,OG Heavy C1,2.0,,,
1918,Meka #1918,Pastel Blue,OG Meka,OG Quartz Trooper,OG Pink E0,OG Filter,OG Trooper S2,OG Trooper A1,OG Trooper C1,4.0,,,
1919,Meka #1919,Red,Gādian,GAI Bastion,Pink Delta,GAI Jingasa M1,Brachyura,GAI Sōhei A1,GAI Youma,4.0,,,
1920,Meka #1920,Pastel Blue,F9,F9 Kagen,F9 Green E7,F9 Heavy,F9 Assault,F9 Bastion,F9 Bastion C1,3.0,,,
1921,Meka #1921,White,OG Meka,OG Delta Trooper,OG Pink E0,OG Sphere,OG Sabotage S3,OG Solid Tank,OG Trooper C1,3.0,,,
1922,Meka #1922,,,,,,,,,,,,OG DeathStone
1923,Meka #1923,Dark Grey,F9,F9 Assault Spikes,F9 Red E21,F9 Jingasa M2,F9 Assault,F9 Jingasa A1,F9 Fortress C1,4.0,GAI Katana,,
1924,Meka #1924,Dark Brown,OG Meka,OG Helmet Brick,OG Glowing Eyes Brick,OG Mask Brick,OG Helmet Brick,OG Arms Brick,OG Chest Brick,5.0,OG Canon Brick,Brick,
1925,Meka #1925,Blurple,F9,F9 Ronin H1,F9 Green E4,F9 Heavy,F9 Brackyura,F9 Samourai A0,F9 Bastion C1,3.0,,,
1926,Meka #1926,,Mirage,MI Falcon H0,MI Pink Visor,MI Racer M2,MI Storm,MI Radar A1,MI Radar C1,0.0,,Fire,
1927,Meka #1927,Pastel Blue,OG Meka,OG Darya Trooper,OG Rose E1,OG Trooper M1,OG Trooper S1,OG Solid Tank,OG Heavy C1,4.0,,,
1928,Meka #1928,Blood Red,OG Meka,OG Delta Trooper,OG Rose E1,OG Heavy,OG Rocket jaw,OG Trooper A1,OG Heavy C2,3.0,OG Smiley K1,,
1929,Meka #1929,Orange,OG Meka,OG Helmet Brick,OG Eyes Brick,OG Mask Brick,OG Helmet Brick,OG Arms Brick,OG Chest Brick,5.0,,Brick,
1930,Meka #1930,Blue Grey,OG Meka,OG Darya Elite,OG Violet E1,OG Filter,OG Trooper S1,OG Trooper A2,OG Heavy C1,3.0,,,
1931,Meka #1931,Blood Red,OG Meka,OG Delta Trooper,OG Rose E1,OG Pain,OG Trooper S2,OG Trooper A1,OG Heavy C1,4.0,,,
1932,Meka #1932,Red,OG Meka,OG Delta Elite,OG Red E0,OG Filter,OG Trooper S1,OG Metal spike,OG Trooper C1,5.0,,Gold Helmet,
1933,Meka #1933,,F9,F9 Kagen,F9 Green E4,F9 Monkey,F9 Assault,F9 Jingasa A2,F9 Fortress C1,0.0,,Camo blue,
1934,Meka #1934,Light Green,OG Meka,OG Quartz Heavy,OG Rose E1,OG Trooper M1,OG Sabotage S7,OG Trooper A2,OG Trooper C1,3.0,OG Dawn Sword,,
1935,Meka #1935,Orange,OG Meka,OG Darya Master,OG Green E7,OG Trooper M2,OG Sabotage S3,OG Trooper A2,OG Trooper C1,4.0,,,
1936,Meka #1936,Blue Grey,OG Meka,OG Quartz Heavy,OG White E13,OG Sphere,OG Trooper S2,OG Trooper A1,OG Trooper C1,3.0,,Silver Helmet,
1937,Meka #1937,Camo Green,OG Meka,OG Delta Elite,OG Rose E1,OG Trooper M1,OG Assault jaw,OG Trooper A2,OG Trooper C1,2.0,,,
1938,Meka #1938,Blood Red,Mirage,MI Racer,MI White Visor,MI Salamender,MI WS-2,MI Radar A1,MI Racer C1,3.0,,,
1939,Meka #1939,Blood Red,Mirage,MI SB-4,MI Pink Visor,MI Salamender,MI Sonar J2,MI Radar A1,MI Racer C1,3.0,,Silver Helmet,
1940,Meka #1940,Red,Mirage,MI SB-4,MI Pink Visor,MI Racer M2,MI Storm,MI Racer A2,MI Racer C1,3.0,Mi Utopia,,
1941,Meka #1941,Aqua Lite,Mirage,MI Racer,MI Pink Visor,MI Racer M1,MI WS-1,MI Radar A1,MI Radar C1,3.0,,,
1942,Meka #1942,Dark Grey,OG Meka,OG Darya Master,OG Rose E1,OG Pain,OG Sabotage S3,OG Solid Tank,OG Trooper C2,4.0,,,
1943,Meka #1943,Aqua Lite,OG Meka,OG Delta Trooper,OG Rose E1,OG Trooper M1,OG Trooper S1,OG Trooper A1,OG Heavy C1,3.0,,,
1944,Meka #1944,Dark Grey,OG Meka,OG Delta Heavy,OG Rose E1,OG Trooper M1,OG Trooper S1,OG Solid Tank,OG Trooper C1,3.0,,,
1945,Meka #1945,Orange,F9,F9 Loop,F9 Red E21,F9 Bastion M1,F9 Assault,F9 Jingasa A1,F9 Bastion C1,4.0,,,
1946,Meka #1946,Sky Blue,Gādian,GAI Jingasa H1,Pink Delta,GAI Ukiyo-E,GAI Jingasa J1,GAI Youma,GAI Jingasa C1,4.0,,,
1947,Meka #1947,Red,Mirage,MI Racer,MI Pink Visor,MI Racer M1,MI WS-2,MI Radar A1,MI Radar C1,3.0,Mi Spectral blade x2,,
1948,Meka #1948,Pastel Blue,OG Meka,OG Darya Master,OG Rose E1,OG Heavy,OG Trooper S1,OG Trooper A2,OG Trooper C1,3.0,OG Dawn Sword x2,,
1949,Meka #1949,Red,F9,F9 Spikes,F9 Green E4,F9 Heavy,F9 Assault,F9 Jingasa A1,F9 Bastion C1,3.0,GAI Tessen x2,,
1950,Meka #1950,Orange,Gādian,GAI Janjin H2,Cyan Square,GAI Jingasa M2,Bastion J2,GAI Jingasa A1,GAI Jingasa C1,4.0,,,
1951,Meka #1951,Blue Grey,F9,F9 Spikes,F9 Green E21,F9 Assault,F9 Assault,F9 Jingasa A1,F9 Bastion C1,3.0,,,
1952,Meka #1952,Dark Grey,Gādian,GAI Bastion,White Circle,GAI Jingasa M2,Bastion J1,GAI Youma,GAI Sōhei C1,4.0,,,
1953,Meka #1953,Pastel Blue,F9,F9 Ronin H1,F9 Green E21,F9 Heavy,F9 Assault,F9 Bastion,F9 Bastion C1,3.0,GAI Kochi x2,,
1954,Meka #1954,Grey,OG Meka,OG Delta Trooper,OG Red E0,OG Trooper M2,OG Trooper S2,OG Trooper A1,OG Trooper C1,3.0,,,
1955,Meka #1955,Blurple,Mirage,MI Radar,MI Aqua Eye,MI Falcon M0,MI Racer W1,MI Radar A1,MI Radar C1,4.0,,,
1956,Meka #1956,Sky Blue,OG Meka,OG Delta Trooper,OG Green E21,OG Filter,OG Trooper S1,OG Solid Tank,OG Trooper C1,4.0,,,
1957,Meka #1957,Dark Brown,OG Meka,OG Delta Trooper,OG Rose E1,OG Monkey R-9,OG Trooper S1,OG Trooper A1,OG Heavy C1,2.0,,,
1958,Meka #1958,Pink,Mirage,MI Racer,MI Pink Visor,MI Racer M1,MI Racer W1,MI Radar A1,MI Radar C1,3.0,,,
1959,Meka #1959,Pastel Blue,OG Meka,OG Delta Trooper,OG Rose E1,OG Monkey R-7,OG Trooper S2,OG Trooper A2,OG Trooper C1,4.0,OG Smiley K1,,
1960,Meka #1960,Pink,Mirage,MI Racer,MI Aqua Eye,MI Salamender,MI Racer W1,MI Racer A1,MI Racer C2,4.0,,,
1961,Meka #1961,Blurple,OG Meka,OG Delta Trooper,OG Blue E4,OG Trooper M2,OG Rocket jaw,OG Solid Tank,OG Trooper C1,3.0,,,
1962,Meka #1962,Aqua Lite,OG Meka,OG Helmet Brick,OG Eyes Brick,OG Mask Brick,OG Helmet Brick,OG Arms Brick,OG Chest Brick,2.0,,Brick,
1963,Meka #1963,Dark Grey,F9,F9 Spikes,F9 Green E21,F9 Jingasa M2,F9 Assault,F9 Jingasa A2,F9 Bastion C1,2.0,,,
1964,Meka #1964,Red,F9,F9 Loop,F9 Green E4,F9 Bastion M1,F9 Brackyura,F9 Jingasa A1,F9 Fortress C1,3.0,,,
1965,Meka #1965,Sky Blue,OG Meka,OG Delta Trooper,OG Rose E1,OG Filter,OG Rocket jaw,OG Squadron 4,OG Trooper C2,3.0,,,
1966,Meka #1966,Light Green,OG Meka,OG Quartz Heavy,OG Pink E0,OG Filter,OG Trooper S2,OG Squadron 4,OG Heavy C1,3.0,,Gold Helmet,
1967,Meka #1967,Blurple,Gādian,GAI Janjin H1,Red Hexa,GAI Bastion M1,GAI Jingasa J1,GAI Jingasa A2,GAI Jingasa C1,3.0,,,
1968,Meka #1968,Red,Mirage,MI Racer,MI Pink Visor,MI Kaiman,MI Racer W1,MI Racer A1,MI Racer C1,3.0,,,
1969,Meka #1969,,OG Meka,OG Delta Elite,OG Rose E1,OG Sphere,OG Trooper S1,OG Solid Tank,OG Trooper C1,0.0,,Siberie,
1970,Meka #1970,Pastel Blue,Gādian,GAI Youma H2,White Square,GAI Jingasa M1,Bastion J1,GAI Jingasa A1,GAI Jingasa C1,3.0,,Silver Helmet,
1971,Meka #1971,Dark Grey,Mirage,MI Racer,MI Pink Visor,MI Sonic M1,MI Radar W1,MI Radar A1,MI Racer C2,4.0,,,
1972,Meka #1972,Red,OG Meka,OG Rombus Master,OG Rose E1,OG Filter,OG Sabotage S3,OG Metal spike,OG Trooper C1,3.0,,Gold Helmet,
1973,Meka #1973,Red,Gādian,GAI Jingasa H2,Pink Delta,GAI Jingasa M2,Bastion J2,GAI Yasuke,GAI Jingasa C1,3.0,,,
1974,Meka #1974,Aqua Lite,Mirage,MI Racer,MI Aqua Eye,MI Kaiman,MI Racer W2,MI Radar A1,MI Racer C2,4.0,,,
1975,Meka #1975,Dark Grey,Gādian,GAI Jingasa H1,Pink Circle,GAI Youma,GAI Jingasa J1,GAI Jingasa A1,GAI Jingasa C1,4.0,,,
1976,Meka #1976,Aqua Lite,OG Meka,OG Oblong Elite,OG Rose E1,OG Sphere,OG Trooper S1,OG Squadron 4,OG Trooper C2,4.0,,,
1977,Meka #1977,Pastel Blue,OG Meka,OG Delta Trooper,OG Violet E1,OG Trooper M2,OG Trooper S2,OG Squadron 3,OG Trooper C2,3.0,OG Cannons,,
1978,Meka #1978,Blood Red,Mirage,MI Racer,MI Aqua Eye,MI Racer M1,MI Storm,MI Radar A1,MI Radar C1,4.0,,,
1979,Meka #1979,Blood Red,Mirage,MI Racer,MI Aqua Eye,MI Racer M1,MI Racer W1,MI Radar A1,MI Racer C1,5.0,,,
1980,Meka #1980,Dark Grey,OG Meka,OG Darya Elite,OG Pink E0,OG Trooper M2,OG Trooper S2,OG Solid Tank,OG Heavy C1,2.0,,,
1981,Meka #1981,Orange,Gādian,GAI Jingasa H1,Pink Delta,GAI Jingasa M1,GAI Jingasa J1,GAI Sōhei A1,GAI Jingasa C1,5.0,,,
1982,Meka #1982,Dark Grey,OG Meka,OG Darya Master,OG Rose E1,OG Knight,OG Trooper S1,OG Solid Tank,OG Trooper C2,3.0,,,
1983,Meka #1983,Blue Grey,Mirage,MI Radar,MI Pink Visor,MI Racer M1,MI Racer W1,MI Radar A1,MI Racer C1,3.0,,,
1984,Meka #1984,Blue Grey,F9,F9 Loop,F9 Red E21,F9 Heavy,F9 Assault,F9 Jingasa A2,F9 Bastion C1,3.0,,,
1985,Meka #1985,Blood Red,OG Meka,OG Delta Trooper,OG Pink E0,OG Monkey R-7,OG Sabotage S3,OG Trooper A1,OG Trooper C1,4.0,,,
1986,Meka #1986,Black,OG Meka,OG Helmet Brick,OG Glowing Eyes Brick,OG Mask Brick,OG Helmet Brick,OG Arms Brick,OG Chest Brick,5.0,,Brick,
1987,Meka #1987,Dark Grey,F9,F9 Ronin H1,F9 Green E4,F9 Bastion M2,F9 Assault,F9 Samourai A0,F9 Bastion C1,3.0,GAI Kochi x2,,
1988,Meka #1988,Red,OG Meka,OG Quartz Heavy,OG Green E7,OG Trooper M2,OG Trooper S2,OG Squadron 4,OG Trooper C1,4.0,OG Solid Blade,Silver Helmet,
1989,Meka #1989,Pastel Blue,OG Meka,OG Darya Master,OG Rose E1,OG Trooper M1,OG Assault jaw,OG Trooper A2,OG Trooper C1,4.0,,,
1990,Meka #1990,,Mirage,MI Sonar,MI Aqua Eye,MI Racer M2,MI Sonar J2,MI Radar A1,MI Radar C1,0.0,,Ghost,
1991,Meka #1991,Red,OG Meka,OG Delta Trooper,OG Violet E1,OG Monkey R-9,OG Sabotage S3,OG Trooper A1,OG Trooper C1,3.0,OG Smiley K1,,
1992,Meka #1992,,OG Meka,OG Radiant Elite,OG White E13,OG Trooper M1,OG Assault jaw,OG Solid Tank,OG Trooper C1,0.0,,Camo green,
1993,Meka #1993,,OG Meka,OG Quartz Elite,OG Violet E1,OG Last Breath,OG Sabotage S3,OG Solid Tank,OG Heavy C1,0.0,OG Dawn Sword,Camo green,
1994,Meka #1994,Blurple,OG Meka,OG Radiant Trooper,OG Violet E1,OG Sphere,OG Trooper S1,OG Trooper A2,OG Trooper C1,3.0,OG Cannons,,
1995,Meka #1995,Pastel Blue,Gādian,GAI Jingasa H2,Pink Delta,GAI Jingasa M2,GAI Jingasa J1,GAI Sōhei A1,GAI Sōhei C1,3.0,,,
1996,Meka #1996,Red,Gādian,GAI Youma H2,Pink Delta,GAI Jingasa M1,GAI Jingasa J1,GAI Jingasa A2,GAI Jingasa C1,3.0,,,
1997,Meka #1997,Grey,OG Meka,OG Radiant Trooper,OG Blue E4,OG Mantis,OG Rocket jaw,OG Trooper A2,OG Trooper C1,3.0,,,
1998,Meka #1998,Aqua Lite,OG Meka,OG Quartz Master,OG Pink E0,OG Knight,OG Rocket jaw,OG Squadron 4,OG Trooper C1,3.0,,,
1999,Meka #1999,Sky Blue,OG Meka,OG Quartz Heavy,OG Rose E1,OG Trooper M2,OG Assault jaw,OG Trooper A2,OG Heavy C1,3.0,,,
2000,Meka #2000,Pink,OG Meka,OG Darya Trooper,OG Rose E1,OG Trooper M1,OG Sabotage S3,OG Solid Tank,OG Trooper C1,3.0,,,
2001,Meka #2001,Blurple,OG Meka,OG Darya Trooper,OG Violet E1,OG Filter,OG Assault jaw,OG Trooper A2,OG Trooper C2,3.0,OG Thunder Gun,,
2002,Meka #2002,Red,Mirage,MI Racer,MI Pink Visor,MI Racer M1,MI Racer W2,MI Radar A1,MI Racer C1,3.0,,,
2003,Meka #2003,Aqua Lite,OG Meka,OG Radiant Elite,OG Blue E4,OG Sphere,OG Trooper S2,OG Metal spike,OG Trooper C1,4.0,,,
2004,Meka #2004,Blue Grey,Mirage,MI Racer,MI Pink Visor,MI Racer M1,MI Falcon W0,MI Sonic A1,MI Sonic C1,3.0,,,
2005,Meka #2005,Grey,OG Meka,OG Rombus Elite,OG Green E7,OG Monkey R-7,OG Trooper S2,OG Metal spike,OG Trooper C2,2.0,OG Dawn Sword,,
2006,Meka #2006,Aqua Lite,Gādian,GAI Jingasa H2,Pink Delta,GAI Jingasa M2,GAI Jingasa J1,GAI Jingasa A2,GAI Sōhei C1,3.0,,,
2007,Meka #2007,Aqua Lite,Gādian,GAI Jingasa H1,Pink Circle,GAI Bastion M1,GAI Jingasa J1,GAI Jingasa A1,GAI Jingasa C1,3.0,,,
2008,Meka #2008,Pink,OG Meka,OG Darya Trooper,OG Red E0,OG Heavy,OG Trooper S2,OG Trooper A2,OG Trooper C1,3.0,,,
2009,Meka #2009,Dark Grey,F9,F9 Ronin H1,F9 Red E3,F9 Aura M-0,F9 Assault,F9 Bastion,F9 Fortress C2,4.0,,,
2010,Meka #2010,,OG Meka,OG Oblong Elite,OG Rose E1,OG Monkey R-7,OG Trooper S2,OG Squadron 3,OG Trooper C1,0.0,OG Solid Blade,Fire,
2011,Meka #2011,,Gādian,GAI Tetra H2,Red Hexa,GAI Youma,Brachyura,GAI Yasuke,GAI Jingasa C1,0.0,,Carbon,
2012,Meka #2012,,OG Meka,OG Oblong Elite,OG Rose E1,OG Trooper M1,OG Trooper S2,OG Trooper A2,OG Trooper C1,0.0,,Camo blue,
2013,Meka #2013,Aqua Lite,F9,F9 Assault Spikes,F9 Green E4,F9 Monkey,F9 Assault,F9 Jingasa A2,F9 Bastion C1,3.0,GAI Kochi x2,Gold Helmet,
2014,Meka #2014,Blurple,Gādian,GAI Janjin H2,White Circle,GAI Jingasa M1,Bastion J2,GAI Jingasa A1,GAI Jingasa C1,3.0,GAI Katana,,
2015,Meka #2015,Blue Grey,Gādian,GAI Tetra H2,Pink Delta,GAI Bastion M1,Bastion J2,GAI Jingasa A2,GAI Jingasa C1,3.0,,,
2016,Meka #2016,Sky Blue,OG Meka,OG Radiant Trooper,OG Rose E1,OG Filter,OG Trooper S2,OG Squadron 3,OG Trooper C1,3.0,,,
2017,Meka #2017,Sky Blue,OG Meka,OG Quartz Trooper,OG Green E7,OG Last Breath,OG Trooper S1,OG Solid Tank,OG Trooper C2,4.0,OG Smiley K1,,
2018,Meka #2018,Aqua Lite,Mirage,MI Racer H2,MI Aqua Eye,MI Racer M1,MI Racer W2,MI Racer A1,MI Racer C1,4.0,,,
2019,Meka #2019,Aqua Lite,Mirage,MI Racer H2,MI Aqua Eye,MI Sonic M1,MI Falcon W1,MI Radar A1,MI Racer C1,3.0,Mi Spectral blade x2,,
2020,Meka #2020,Sky Blue,F9,F9 Spikes,F9 Green E4,F9 Heavy,F9 Aura J-0,F9 Jingasa A2,F9 Fortress C2,3.0,GAI Kochi,,
2021,Meka #2021,Blue Grey,Mirage,MI Racer,MI Aqua Eye,MI Racer M1,MI Racer W1,MI Racer A1,MI Racer C1,4.0,MI Ray guns,,
2022,Meka #2022,,F9,F9 Ronin H1,F9 Green E4,F9Youma,F9 Assault,F9 Samourai A1,F9 Fortress C2,0.0,,Camo blue,
2023,Meka #2023,,OG Meka,OG Darya Master,OG Blue E4,OG Filter,OG Rocket jaw,OG Solid Tank,OG Heavy C1,0.0,,Camo green,
2024,Meka #2024,Red,OG Meka,OG Rombus Master,OG Blue E4,OG Trooper M2,OG Assault jaw,OG Metal spike,OG Trooper C1,3.0,,,
2025,Meka #2025,Pastel Blue,F9,F9 Spikes,F9 Green E4,F9 Bastion M1,F9 Assault,F9 Jingasa A2,F9 Bastion C1,3.0,,,
2026,Meka #2026,,Mirage,MI SB-4,MI Aqua Eye,MI Racer M2,MI WS-1,MI Radar A1,MI Racer C2,0.0,,Siberie,
2027,Meka #2027,Aqua Lite,Gādian,GAI Bastion,Pink Delta,GAI Jingasa M2,GAI Jingasa J1,GAI Yasuke,GAI Sōhei C1,3.0,,,
2028,Meka #2028,Light Green,OG Meka,OG Rombus Heavy,OG White E13,OG Sphere,OG Trooper S2,OG Trooper A2,OG Trooper C1,3.0,,,
2029,Meka #2029,Blue Grey,OG Meka,OG Darya Trooper,OG Rose E1,OG Knight,OG Assault jaw,OG Trooper A1,OG Trooper C1,4.0,,,
2030,Meka #2030,Dark Grey,Gādian,GAI Citadel,Pink Circle,GAI Jingasa M1,GAI Jingasa J1,GAI Youma,GAI Sōhei C1,3.0,,,
2031,Meka #2031,Blue Grey,Mirage,MI Racer,MI Pink Visor,MI Sonic M1,MI Racer W1,MI Racer A1,MI Radar C1,3.0,,,
2032,Meka #2032,Blurple,Mirage,MI Racer,MI Pink Visor,MI Sonic M1,MI Racer W1,MI Racer A1,MI Racer C2,4.0,,,
2033,Meka #2033,Light Green,OG Meka,OG Delta Elite,OG Rose E1,OG Filter,OG Sabotage S3,OG Trooper A2,OG Trooper C2,2.0,,,
2034,Meka #2034,Blurple,OG Meka,OG Delta Trooper,OG White E13,OG Filter,OG Sabotage S3,OG Trooper A1,OG Heavy C1,3.0,,,
2035,Meka #2035,Aqua Lite,OG Meka,OG Delta Elite,OG Rose E1,OG Heavy,OG Trooper S2,OG Metal spike,OG Heavy C1,3.0,,,
2036,Meka #2036,Light Green,OG Meka,OG Delta Trooper,OG Blue E4,OG Heavy,OG Trooper S1,OG Trooper A1,OG Heavy C2,3.0,,,
2037,Meka #2037,White,Mirage,MI SB-4,MI Pink Visor,MI Kaiman,MI Storm,MI Radar A1,MI Racer C1,3.0,MI Rockets X,Silver Helmet,
2038,Meka #2038,Blood Red,OG Meka,OG Radiant Heavy,OG Rose E1,OG Monkey R-7,OG Trooper S1,OG Trooper A2,OG Heavy C1,3.0,,,
2039,Meka #2039,Sky Blue,OG Meka,OG Rombus Elite,OG Rose E1,OG Trooper M1,OG Trooper S1,OG Trooper A2,OG Trooper C1,4.0,,,
2040,Meka #2040,Blue Grey,OG Meka,OG Rombus Elite,OG Green E7,OG Filter,OG Trooper S1,OG Solid Tank,OG Heavy C1,3.0,,,
2041,Meka #2041,Red,OG Meka,OG Helmet Brick,OG Eyes Brick,OG Mask Brick,OG Helmet Brick,OG Arms Brick,OG Chest Brick,3.0,OG Canon Brick,Brick,
2042,Meka #2042,Aqua Lite,OG Meka,OG Quartz Heavy,OG Rose E1,OG Heavy,OG Sabotage S7,OG Trooper A2,OG Trooper C1,3.0,,,
