TOKEN_ID,TOKEN_NAME,Background Color,Aura,Skin,Lips,Eyes,Nose Ring,Hair,Shirt,Necklace,Earrings,Headpiece,Tier,Eyeliner,Essence,Tattoos,Eclipsed,Tears,Scar,Bandages,Crown,Void,Blessed
325,Ialpa - Divine #325,Natural,Cosmic,Cosmic,Toxic,Frozen,Golden Bridge,Regal,Dress of Purity,Tarnished Band,Rubies,Arcane Coils,Vindicator,,,,,,,,,,
326,Seer Drudori - Divine #326,Ochre,Cosmic,All-Seeing,Pursed Crimson,,Jeweled,Seer,Arcane Tassel,Golden Rings,Bullets,Gems of Patience,Apostle,,Aqueous,Of The Wise,,,,,,,
327,Iaeiersa - Divine #327,Lilac,Warm,Tainted,Pursed Void,Life Taking,Golden Frayed Ring,Frost,Cape of Heart,Silver Rings,Bullets,Silver Gladiator,Vindicator,,,,,,,,,,
328,Raoori - Divine #328,Ochre,Harmonic,Tainted,Amber,Life Taking,Golden Slack,River,Shimmering Cloak,The Breath of Infinity,Silver Stars,Headdress of the Goddess,Vindicator,,,,,,,,,,
329,Yunai - Divine #329,Emerald,Focus,Refined,Deep Sea,Hazel,Chain of Pearls,Ancient Arcane,Deep Sea Dress,Mystical Stones,Super Lunar,Gems of Life,Vindicator,,,,,,,,,,
330,Jinei Mae - Divine #330,Natural,Rejuvenation,Refined,Pursed Frozen,Frozen,Golden Bridge,Tainted,Fiery Toga,Golden Rings,Lunar,Golden Horns,Vindicator,,,,,,,,,,
331,Li Torirla - Divine #331,Ochre,Combative,Imbued,Tangerine,Passionate,Blessed Stud,Heart,Bronzed Dress,Gold Divine,Silver Serpents,Cradle of Truth,Vindicator,,,,,,,,,,
332,Er Daen Pa - Divine #332,Sacred Peach,Retribution,Tainted,Toxic,Life Taking,Chain of Pearls,Phoenix,Purity Gown,Grenal,Amber,Gems of Innocence,Vindicator,,Aqueous,,,,,,,,
333,Tel Earia - Divine #333,Natural,Serene,Cosmic,Frosted,Passionate,Jeweled,Shadow,Shimmering Dress,Red Opals,Solar,Dorado,Vindicator,,,,,,,,,,
334,Disciple Tel Silkara - Divine #334,Azure,Passionate,Lifebreath,Pursed Amber,,Golden Double Chained,Disciple,Amice of Nature,Da,Gold Chain,Coils of Fire,Apostle,,,Guardian,,,,,,,
335,Losii - Divine #335,Emerald,Warm,Imbued,Frozen,Hazel,Silver Slack,Rustic,Arcane Cloak,Pendant of Wisdom,Silver Echoes,Vitality Spikes,Vindicator,,,,,,,,,,
336,Loive - Divine #336,Lilac,Retribution,Tainted,Natural,Frost,Silver Hoop,Almond,Shimmering Cape,Harspiera,Bullets,Coils of Ambience,Vindicator,,,,,,,,,,
337,Druvi - Divine #337,Fandango,Rejuvenation,Refined,Crimson,Life Giving,Chain of Pearls,Focused,Robes of Nature,Harspiera's Tears,Golden Stars,Coils of Fire,Vindicator,,,,,,,,,,
338,Oa Tertis - Divine #338,Laguna,Harmonic,Refined,Pursed Frosted,Hazel,Silver Bridge,Flames,Arcane Robes,Gold Divine,Emerald,Mystical Crown,Vindicator,,,,,,,,,,
339,Zilera - Divine #339,Fandango,Retribution,Cosmic,Void Kissed,Passionate,Jeweled,Fiery,Shimmering Cloak,Tri Obsidian,Morganite,Barbs of Ascension,Vindicator,,,,,,,,,,
340,Conjuror Orauylvia - Divine #340,Floral,Retribution,Drake-Tempered,Pursed Frozen,,Golden Bridge,Conjuror,Tarnished Wraps,Grenal,Amber,Rejuvenating Horns,Apostle,,Clouded,Of The Wise,,,,,,,
341,Mage Raeylvia - Divine #341,Amethyst,Harmonic,Serpentheart,Raspberry,,Chain of Pearls,Mage,Orange Forseeing,Silver Barbs,Golden Stars,Darkwood Spikes,Apostle,,,Spirit,,,,,,,
342,Ieula - Divine #342,Amethyst,Perceptive,Tainted,Void Kissed,Frost,Golden Frayed Ring,Ancient Blue,Shimmering Dress,Green Opals,Pearls,Enchanted Spikes,Vindicator,,,,,,,,,,
343,Aqeii - Divine #343,Ochre,Tranquility,Refined,Frozen,Frost,Golden Slack,Vindicated,Shimmering Cloak,Bronzed Barbs,Silver Charged,Spring Crown,Vindicator,,,,,,,,,,
344,Oamka - Divine #344,Lilac,Perceptive,Tainted,Pursed Frozen,Passionate,Silver Double Chained,Fiery Focus,Shimmering Cape,Tears of Grenal,Lunar,Gems of Purity,Vindicator,,,,,,,,,,
345,Keeper Tor Iiersa - Divine #345,Sacred Peach,Passionate,Airtorn,Void Kissed,,Silver Slack,Keeper,Life Mage,Green Opals,Morganite,Coils of Nature,Apostle,,,Loyalty,,,,,,,
346,Ell'y Tan - Divine #346,Floral,Retribution,Broken,Frosted,,,Apparition,Deep Sea Laces,A Glimpse of Redemption,,,Royalty,,,,,,Bladestruck,Ghost,Shard of Harspiera,,
347,Tempest Aylstar - Divine #347,Heated,Focus,Lifebreath,Pursed Frosted,,Golden Slack,Tempest,Burned Plates,Gold Charge,Rubies,Gems of Optimism,Apostle,,,Refraction,,,,,,,
348,Sorcerer Raiei Sol - Divine #348,Fandango,Tranquility,Serpentheart,Frozen,,Silver Bridge,Sorcerer,Green Mage,Pendant of Wisdom,Golden Echoes,Pierced Crown,Apostle,,,Nature's Phase,,,,,,,
349,Arisen La Teroren Rah - Divine #349,Emerald,Rejuvenation,Drake-Tempered,Pursed Frozen,,Silver Frayed Ring,Risen,Golden Plates,Amarashen,Solar,Cradle of Noir,Apostle,,,Spirit,,,,,,,
350,Sorcerer Tor Uel - Divine #350,Amethyst,Combative,Drake-Tempered,Deep Sea,,Jeweled,Sorcerer,Cosmic Mage,Stones of Life,Amber,Azurite Spikes,Apostle,,,Blindsided,,,,,,,
351,Master Iaten May - Divine #351,Lilac,Serene,Serpentheart,Toxic,,Silver Bridge,Master,Red Gilded,Stones of Pride,Gold Chain,Gems of Pride,Apostle,,Burning,Sky Torn,,,,,,,
352,Iakar - Divine #352,Natural,Warm,Imbued,Pursed Amber,Hazel,Blessed Stud,Frosted Focus,Arcane Cape,Harspiera's Tears,Rubies,Revitalized Crown,Vindicator,,,,,,,,,,
353,Ar Uwkara - Divine #353,Azure,Warm,Refined,Tangerine,Life Giving,Chain of Pearls,Electric,Toga of Innocence,Grenal,Amber,Enchanted Horns,Vindicator,,,,,,,,,,
354,Iaeliao - Divine #354,Sacred Peach,Combative,Cosmic,Pursed Void,Passionate,Chain of Pearls,Darkened,Purity Gown,Silver Barbs,Obsidian,Azurite Spikes,Vindicator,,,,,,,,,,
355,Warrior Finlin - Divine #355,Laguna,Warm,Airtorn,Tangerine,,Chain of Pearls,Barbaric,Plates of Nature,Harspiera,Morganite,Spring Crown,Apostle,,,Last Hope,,,,,,,
356,Sileua - Divine #356,Amethyst,Serene,Refined,Raspberry,Frost,Golden Hoop,Winter,Dress of Purity,Tri Azurite,Amber,Darkwood Spikes,Vindicator,,,,,,,,,,
357,Ieei Re - Divine #357,Emerald,Focus,Refined,Amber,Life Giving,Golden Double Chained,Frost,Bronzed Robes,Obsidian Band,Golden Serpents,Golden Spikes,Vindicator,,,,,,,,,,
358,Lodori - Divine #358,Floral,Retribution,Refined,Frosted,Hazel,Silver Frayed Ring,Sunrise,Shimmering Dress,Stones of Heart,Pearls,Coils of Nature,Vindicator,,Smoked,,,,,,,,
359,Ietz - Divine #359,Heated,Tranquility,Tainted,Raspberry,Frozen,Chain of Pearls,Fiery Seer,Purity Toga,Silver Divine,Gold Chain,Gems of Wisdom,Vindicator,,Burning,,,,,,,,
360,Ascended Finoora - Divine #360,Sacred Peach,Focus,Lifebreath,Frosted,,Chain of Pearls,Ascended,Burned Plates,Aegian,Emerald,Darkwood Spikes,Apostle,,,Nature's Phase,Eclipsed,,,,,,
361,Narave - Divine #361,Fandango,Passionate,Imbued,Pursed Frozen,Frozen,Silver Hoop,Frost,Tarnished Gown,Silver Charge,Morganite,Barrette,Vindicator,,,,,,,,,,
362,Ar Ieiah - Divine #362,Sacred Peach,Retribution,Cosmic,Pursed Crimson,Passionate,Golden Hoop,Blazed,Shimmering Cape,Amarashen,Golden Hoops,Blossomed Crown,Vindicator,,,,,,,,,,
363,Mage Ar Emlin - Divine #363,Ochre,Combative,Airtorn,Pursed Void,,Silver Hoop,Mage,High Mage,Sramosa,Golden Chandelier,Bronzed Horns,Apostle,,,Glory,,,,,,,
364,Viaei Mae - Divine #364,Amethyst,Serene,Imbued,Amber,Frozen,Chain of Pearls,Fiery Seer,Vitality Toga,Pendant of Life,Rubies,Golden Chandelier,Vindicator,,,,,,,,,,
365,Raoiah - Divine #365,Ochre,Warm,Tainted,Frosted,Life Taking,Chain of Pearls,Tainted,Purity Gown,Pendant of Life,Super Solar,Pierced Crown,Vindicator,,,,,,,,,,
366,Druid Serze - Divine #366,Emerald,Harmonic,Lifebreath,Pursed Amber,,Chain of Pearls,Druidic,Arcane Tassel,Tarnished Band,Silver Chandelier,Golden Gladiator,Apostle,,,Of The Wise,,,,,,,
367,Arisen Iaelai - Divine #367,Sky,Passionate,Serpentheart,Crimson,,Silver Slack,Risen,High Mage,Obsidian Band,Silver Dreamcatchers,Barbs of Arrogance,Apostle,,,Of The Wise,,,,,,,
368,Tel Liula - Divine #368,Heated,Combative,Refined,Pursed Frosted,Frost,Golden Bridge,Rustic,Dark Toga,Sramosa,Bullets,Bronzed Horns,Vindicator,,,,,,,,,,
369,Ula Teen Pa - Divine #369,Laguna,Passionate,Refined,Natural,Frozen,Silver Slack,River,Dark Gown,Silver Divine,Lunar,Cradle of Noir,Vindicator,,,,,,,,,,
370,Enchanter Traula - Divine #370,Natural,Retribution,Lifebreath,Natural,,Silver Double Chained,Enchanter,Cosmic Mage,Mystical Stones,Golden Dreamcatchers,Arcane Coils,Apostle,,,Kindness,,,,,,,
371,Iaolin - Divine #371,Ochre,Focus,Refined,Toxic,Hazel,Golden Frayed Ring,Hazelnut,Deep Sea Cloak,The Breath of Infinity,Obsidian,Rejuvenating Horns,Vindicator,,,,,,,,,,
372,Spirited Druawe - Divine #372,Natural,Warm,Airtorn,Pursed Amber,,Jeweled,Spirited,Burned Wraps,Bronzed Barbs,Silver Hoops,Enchanted Spikes,Apostle,,,Sacrificial,,,,,,,
373,Rau'ira Per - Divine #373,Azure,Serene,Broken,Deep Sea,,,Soulstruck,Shimmering Finery,The Solar Amulet,,,Royalty,,,,,,Mawstruck,Mutated,The Pillars of Resistance,,
374,Terel - Divine #374,Heated,Warm,Cosmic,Void Kissed,Frost,Chain of Pearls,Ancient Blue,Cloak of Heart,Obsidian Band,Emerald,Azurite Spikes,Vindicator,,,,,,,,,,
375,Raei Sol - Divine #375,Emerald,Rejuvenation,Imbued,Pursed Amber,Hazel,Silver Double Chained,Winter,Arcane Cloak,Tears of Grenal,Solar,Cradle of Truth,Vindicator,,,,,,,,,,
376,Disciple Iami - Divine #376,Amethyst,Retribution,Serpentheart,Amber,,Silver Double Chained,Disciple,Plates of Nature,Harspiera's Tears,Suspended Ruby,Silver Chandelier,Apostle,,,Metamorphosis,,,,,,,
377,Iaoliao - Divine #377,Laguna,Retribution,Cosmic,Tangerine,Life Giving,Silver Hoop,Almond,Robes of Shadow,Aegian,Golden Divine,Dorado,Vindicator,,,,,,,,,,
378,Saopari - Divine #378,Laguna,Harmonic,Tainted,Frozen,Passionate,Chain of Pearls,Faint Hearted,Shimmering Cloak,Stones of Pride,Morganite,Blossomed Crown,Vindicator,,,,,,,,,,
379,Bruen Li - Divine #379,Sacred Peach,Cosmic,Imbued,Deep Sea,Life Giving,Silver Bridge,Winter Kissed,Arcane Robes,Pendant of Wisdom,Silver Charged,Gems of Heart,Vindicator,,,,,,,,,,
380,Tel Liqua - Divine #380,Lilac,Retribution,Imbued,Void Kissed,Frozen,Golden Double Chained,Ancient Dark,Arcane Cape,Tri Azurite,Pearls,Gems of Innocence,Vindicator,,,,,,,,,,
381,Warrior Iaolyn - Divine #381,Fandango,Tranquility,Drake-Tempered,Frosted,,Golden Bridge,Barbaric,Tassels of Nature,Arcane Choker,Pearls,Enchanted Horns,Apostle,,,Refraction,,,,,,,
382,Raestar - Divine #382,Azure,Warm,Tainted,Crimson,Life Giving,Silver Frayed Ring,Mystified,Cape of Nature,Aegian,Obsidian,Golden Gladiator,Vindicator,,,,,,,,,,
383,Raa'u Er - Divine #383,Lilac,Passionate,Broken,Pursed Crimson,,,Voidsworn,Gilded Garms,Talisman of Flame,,,Royalty,,,,,,Stolen Breath,Blood Stained,Cage of Hearts,,
384,Railyn - Divine #384,Natural,Serene,Cosmic,Amber,Passionate,Silver Slack,Illuminated Sky,Fiery Gown,Harspiera's Tears,Golden Tears,Gems of Optimism,Vindicator,,,,,,,,,,
385,Master Zayrasi - Divine #385,Heated,Serene,Airtorn,Raspberry,,Silver Hoop,Master,Tarnished Tassel,Golden Rings,Obsidian,Gems of Wisdom,Apostle,,,Sky Torn,,,,,,,
386,Quielle - Divine #386,Floral,Cosmic,Tainted,Void Kissed,Hazel,Golden Slack,Majestic Seer,Shimmering Cloak,Gold Charge,Golden Chandelier,Barbs of Arrogance,Vindicator,,,,,,,,,,
387,Yl'rao Har - Divine #387,Emerald,Combative,Broken,Pursed Void,,,Firesworn,Deep Sea Garms,The Light of Dawn,,,Royalty,,,,,,Mindflayed,Rotting,Petrified Platinum,,
388,Dartersi - Divine #388,Fandango,Combative,Tainted,Frosted,Frost,Golden Bridge,Heart Seer,Natural Dress,Stones of Heart,Amber,Barbs of Ascension,Vindicator,,,,,,,,,,
389,Ula Oelle - Divine #389,Azure,Warm,Cosmic,Natural,Hazel,Jeweled,Regal,Arcane Cloak,Golden Rings,Golden Echoes,Cradle of Light,Vindicator,,,,,,,,,,
390,Oaiave - Divine #390,Ochre,Passionate,Imbued,Pursed Crimson,Passionate,Silver Slack,Dusk,Purity Gown,Bronzed Barbs,Gold Charged,Silver Chandelier,Vindicator,,,,,,,,,,
391,Enchanter Fien Pa - Divine #391,Sky,Rejuvenation,Drake-Tempered,Toxic,,Golden Frayed Ring,Enchanter,Burned Amice,Amarashen,Silver Tears,Mystical Crown,Apostle,,,Sky Torn,,,,,,,
392,Ar Laave - Divine #392,Azure,Harmonic,Cosmic,Pursed Frosted,Frozen,Golden Frayed Ring,Frosted Focus,Mystic Robes,Tarnished Band,Silver Dreamcatchers,Gems of Life,Vindicator,,,,,,,,,,
393,Ialtz - Divine #393,Amethyst,Rejuvenation,Tainted,Deep Sea,Frost,Jeweled,Blunt Bangs,Toga of Heart,Tri Obsidian,Silver Chandelier,Halo of Penance,Vindicator,,,,,,,,,,
394,Seer Emawe - Divine #394,Ochre,Passionate,Drake-Tempered,Natural,,Silver Frayed Ring,Seer,Warlock,Gold Divine,Silver Stars,Plata,Apostle,,,Prophecy,,,,,,,
395,Raoraa - Divine #395,Lilac,Focus,Imbued,Toxic,Frozen,Chain of Pearls,Shallow Waters,Shimmering Dress,Gro,Rubies,Golden Gladiator,Vindicator,,,,,,,,,,
396,Maeria - Divine #396,Heated,Rejuvenation,Tainted,Toxic,Frozen,Silver Double Chained,Darkened,Natural Gown,Tears of Grenal,Bullets,Gems of Patience,Vindicator,,,,,,,,,,
397,Zyleve - Divine #397,Floral,Perceptive,Imbued,Deep Sea,Passionate,Silver Frayed Ring,Flames,Arcane Cape,Mystical Stones,Lunar,Vitality Spikes,Vindicator,,,,,,,,,,
398,Sylen Pa - Divine #398,Amethyst,Retribution,Refined,Crimson,Frozen,Chain of Pearls,Sunrise,Dress of Heart,Golden Columns,Solar,Darkwood Spikes,Vindicator,,Freed,,,,,,,,
399,Ar Laralia - Divine #399,Fandango,Harmonic,Refined,Raspberry,Frost,Blessed Stud,Vindicated,Amber Toga,Grenal,Emerald,Gems of Purity,Vindicator,,,,,,,,,,
400,La'u Lar - Divine #400,Floral,Harmonic,Broken,Pursed Crimson,,,Discreet,Sheathing of Gro,A Glimpse of Hope,,,Royalty,,,,,,Stolen Heart,Witnessing,Maw of Ash,,
401,Zsataras - Divine #401,Natural,Tranquility,Tainted,Tangerine,Frozen,Silver Bridge,Heart,Shimmering Cape,Silver Rings,Morganite,Gems of Wisdom,Vindicator,,,,,,,,,,
402,Ar Omka - Divine #402,Floral,Retribution,Refined,Amber,Hazel,Chain of Pearls,Blazed,Arcane Cloak,Silver Barbs,Obsidian,Golden Spikes,Vindicator,,,,,,,,,,
403,Spirited Oila - Divine #403,Emerald,Warm,Lifebreath,Pursed Frosted,,Chain of Pearls,Spirited,Burned Plates,Gold Charge,Lunar,Vitality Spikes,Apostle,,,Kindness,,,,,,,
404,Mage Araaila - Divine #404,Azure,Cosmic,Airtorn,Tangerine,,Silver Slack,Mage,Plates of Nature,Da,Bullets,Golden Horns,Apostle,,,Guardian,,,,,,,
405,Renlera - Divine #405,Heated,Combative,Refined,Pursed Frozen,Life Giving,Silver Hoop,Shadow,Bronzed Cape,Red Opals,Silver Tears,Barbs of Arrogance,Vindicator,,Burning,,,,,,,,
406,Conjuror Zayeve - Divine #406,Sacred Peach,Retribution,Lifebreath,Pursed Frozen,,Silver Bridge,Conjuror,Burned,Silver Divine,Rubies,Headdress of the Goddess,Apostle,,,Refraction,,,,,,,
407,Tel Liliao - Divine #407,Natural,Warm,Tainted,Pursed Amber,Frozen,Golden Slack,Focused,Purity Gown,Stones of Life,Bullets,Golden Chandelier,Vindicator,,,,Eclipsed,,,,,,
408,Puaylvia - Divine #408,Ochre,Serene,Refined,Frozen,Frozen,Blessed Stud,Electric,Deep Sea Cloak,Silver Columns,Emerald,Cradle of Noir,Vindicator,,,,,Tears,,,,,
409,Lorah - Divine #409,Fandango,Warm,Cosmic,Pursed Void,Passionate,Silver Bridge,Ancient Arcane,Shimmering Cape,Green Opals,Golden Dreamcatchers,Gems of Pride,Vindicator,,,,,,,,,,
410,Ar'se Yar - Divine #410,Lilac,Tranquility,Broken,Pursed Crimson,,,Victimized,Ensemble of Justice,Arcane Imbued Collar,,,Royalty,,,,,,Belder Strike,Battleworn,Fleur de Vi,,
411,Seer Sairmi - Divine #411,Emerald,Warm,Lifebreath,Crimson,,Golden Slack,Seer,Arcane Wraps,Stones of Pride,Amber,Druidic Crown,Apostle,,,Blindsided,,,,,,,
412,Ter Oakar - Divine #412,Laguna,Perceptive,Tainted,Toxic,Frozen,Chain of Pearls,Fiery,Shimmering Dress,Silver Charge,Silver Echoes,Halo of Penance,Vindicator,,,,,,,,,,
413,Waerasi - Divine #413,Emerald,Retribution,Betrayed,Deep Sea,Hazel,Silver Slack,River,Arcane Robes,Arcane Choker,Silver Chain,Bronzed Horns,Vindicator,,Clouded,,,,,,,,
414,Karlera - Divine #414,Azure,Passionate,Cosmic,Crimson,Frost,Chain of Pearls,Ancient Tarnished,Shimmering Cloak,Tarnished Band,Pearls,Gems of Life,Vindicator,,,,,,,,,,
415,Arisen Ter Oaaila - Divine #415,Laguna,Rejuvenation,Lifebreath,Pursed Void,,Golden Hoop,Risen,Cosmic Mage,Gro,Pearls,Golden Chandelier,Apostle,,,Sky Torn,,,,,,,
416,Ar Eaiura - Divine #416,Lilac,Retribution,Imbued,Pursed Frosted,Passionate,Golden Double Chained,Shimmering,Bronzed Dress,Stones of Pride,Solar,Mystical Crown,Vindicator,,,,,,,,,,
417,Druid Tor Livanas - Divine #417,Heated,Harmonic,Drake-Tempered,Amber,,Chain of Pearls,Druidic,Golden Mage,Stones of Heart,Bullets,Silver Gladiator,Apostle,,,Glory,,,,,,,
418,Yl'ea Tan - Divine #418,Ochre,Rejuvenation,Broken,Pursed Frozen,,,Silence,Burned Laces,Sun Forged Pendant,,,Royalty,,,,,,Hollowed,Witnessing,The Flame's Reflection,,
419,Disciple Yaliao - Divine #419,Ochre,Serene,Airtorn,Pursed Crimson,,Golden Double Chained,Disciple,Burned Plates,Pendant of Life,Solar,Revitalized Crown,Apostle,,,Refraction,,,,,,,
420,Saipa - Divine #420,Azure,Focus,Cosmic,Amber,Life Giving,Chain of Pearls,Phoenix,Mystic Robes,Stones of Pride,Lunar,Gems of Patience,Vindicator,,,,,,,,,,
421,Iyah - Divine #421,Laguna,Warm,Imbued,Natural,Frost,Golden Hoop,Focused,Natural Gown,Da,Amber,Golden Horns,Vindicator,,,,,,,,,,
422,Tsaiera - Divine #422,Floral,Harmonic,Cosmic,Frosted,Hazel,Silver Hoop,Ancient Dark,Shimmering Cape,Tri Obsidian,Rubies,Barbs of Ascension,Vindicator,,,,,,,,,,
423,Viaraa - Divine #423,Sacred Peach,Serene,Refined,Pursed Void,Hazel,Chain of Pearls,Burnt,Cape of Wisdom,Harspiera's Tears,Silver Divine,Golden Gladiator,Vindicator,,,,,,,,,,
424,Zsaei Su - Divine #424,Emerald,Combative,Imbued,Pursed Crimson,Frozen,Silver Double Chained,Chestnut,Shimmering Dress,Pendant of Life,Lunar,Barbs of Arrogance,Vindicator,,,,,,,,,,
425,Ascended Ruiersa - Divine #425,Sky,Retribution,Airtorn,Pursed Crimson,,Golden Hoop,Ascended,Mystic Plates,Tears of Grenal,Suspended Sapphire,Mystical Horns,Apostle,,,Offering,,,,,,,
426,Ia Dariv - Divine #426,Lilac,Focus,Betrayed,Deep Sea,Frozen,Jeweled,Dark Seer,Natural Toga,Tri Azurite,Rubies,Enchanted Horns,Vindicator,,,,,,,,,,
427,Iovanas - Divine #427,Amethyst,Rejuvenation,Refined,Toxic,Passionate,Silver Frayed Ring,Fiery Focus,Toga of Heart,Gro,Silver Hoops,Rejuvenating Horns,Vindicator,,,,,,,,,,
428,Tempest Araliao - Divine #428,Lilac,Warm,Drake-Tempered,Deep Sea,,Chain of Pearls,Tempest,Golden Plates,Red Opals,Gold Charged,Cradle of Truth,Apostle,,,Loyalty,,,,,,,
429,Ar'sail Nar - Divine #429,Fandango,Focus,Broken,Pursed Frosted,,,Lightsworn,Ensemble of the Arcane,Talisman of Flame,,,Royalty,,,,,,Light Deprived,Dust,Shard of Aegian,,
430,Loivanas - Divine #430,Emerald,Perceptive,Tainted,Frozen,Frost,Silver Hoop,Highness,Purity Gown,Silver Columns,Silver Stars,Gems of Optimism,Vindicator,,,,,,,,,,
431,Fin Raedori - Divine #431,Sacred Peach,Warm,Tainted,Amber,Frozen,Silver Slack,Highness,Dress of Heart,Aegian,Golden Chandelier,Mystical Horns,Vindicator,,,,,,,,,,
432,Erarla - Divine #432,Heated,Passionate,Tainted,Deep Sea,Frozen,Chain of Pearls,Shallow Waters,Fiery Gown,Green Opals,Solar,Golden Spikes,Vindicator,,,,,,,,,,
433,Ter Oaria Te - Divine #433,Sky,Retribution,Betrayed,Pursed Frozen,Frozen,Golden Slack,Fiery,Cape of Heart,Mystical Stones,Golden Hoops,Barrette,Vindicator,,Aqueous,,,,,,,,
434,Lialai - Divine #434,Emerald,Tranquility,Cosmic,Pursed Amber,Frozen,Silver Frayed Ring,Dark Seer,Dark Gown,Pendant of Wisdom,Golden Serpents,Arcane Coils,Vindicator,,,,,,,,,,
435,Meaila - Divine #435,Laguna,Rejuvenation,Refined,Raspberry,Life Giving,Chain of Pearls,Winter Kissed,Shimmering Cloak,The Arc's Guidance,Pearls,Coils of Fire,Vindicator,,,,,,,,,,
436,Tel Yeen Yi - Divine #436,Fandango,Harmonic,Imbued,Tangerine,Frozen,Golden Double Chained,Ancient Tarnished,Purity Gown,Tears of Grenal,Suspended Sapphire,Headdress of the Goddess,Vindicator,,,,,,,,,,
437,Metz - Divine #437,Azure,Combative,Refined,Amber,Frozen,Chain of Pearls,Heart Seer,Bronzed Robes,Golden Columns,Obsidian,Coils of Nature,Vindicator,,,,,,,,,,
438,Keeper Zelii - Divine #438,Laguna,Combative,Serpentheart,Frozen,,Blessed Stud,Keeper,Arcane Amice,Silver Rings,Silver Echoes,Golden Spikes,Apostle,,,Nature's Phase,,,,,,,
439,Ula Telyn - Divine #439,Azure,Passionate,Refined,Frozen,Frozen,Silver Double Chained,Regal,Shimmering Dress,Arcane Choker,Golden Tears,Silver Gladiator,Vindicator,,Clouded,,,,,,,,
440,Raesoli - Divine #440,Fandango,Warm,Refined,Frosted,Frozen,Silver Bridge,Chestnut,Arcane Cloak,Aegian,Amber,Golden Chandelier,Vindicator,,,,,,,,,,
441,Warrior Rayvi - Divine #441,Azure,Perceptive,Lifebreath,Pursed Void,,Golden Double Chained,Barbaric,Green Librarian,Tri Azurite,Morganite,Gems of Innocence,Apostle,,,Kin,,,,,,,
442,Iur'lai Yir - Divine #442,Natural,Perceptive,Broken,Amber,,,Voidsworn,Finery of Heart,Talisman of Peace,,,Royalty,,,,,,Imprisoned,Mutated,Shard of Harspiera,,
443,Yeei Ar - Divine #443,Emerald,Retribution,Tainted,Pursed Crimson,Frozen,Jeweled,Arcane,Shimmering Cloak,Golden Rings,Morganite,Golden Horns,Vindicator,,,,,,,,,,
444,Spirited La Teroori - Divine #444,Amethyst,Perceptive,Lifebreath,Pursed Void,,Silver Bridge,Spirited,Teal Mage,Harspiera,Lunar,Gems of Pride,Apostle,Eyeliner,,Sacrificial,,,,,,,
445,Sier'lue Nal - Divine #445,Natural,Combative,Broken,Raspberry,,,Victimized,Natural Laces,Stone of the Abused,,,Royalty,,,,,,Mawstruck,Purified,The Pillars of Resistance,,
446,Zueve - Divine #446,Natural,Perceptive,Cosmic,Toxic,Hazel,Chain of Pearls,Burnt,Shimmering Cape,Gold Charge,Gold Chain,Golden Spikes,Vindicator,,,,,,,,,,
447,Tor Liula - Divine #447,Laguna,Focus,Refined,Deep Sea,Passionate,Blessed Stud,Heart,Cape of Nature,Sramosa,Emerald,Dorado,Vindicator,,,,,,,,,,
448,Oraupari - Divine #448,Floral,Serene,Refined,Pursed Void,Frozen,Chain of Pearls,Majestic Seer,Amber Toga,Obsidian Band,Bullets,Cradle of Light,Vindicator,,,,,,,,,,
449,Serei Mae - Divine #449,Amethyst,Harmonic,Tainted,Crimson,Frost,Golden Hoop,Shadow,Toga of Innocence,Tears of Grenal,Morganite,Coils of Ambience,Vindicator,,,,,,,,,,
450,Aratersi - Divine #450,Lilac,Combative,Imbued,Amber,Life Giving,Golden Frayed Ring,Shallow Waters,Arcane Robes,Silver Charge,Rubies,Barbs of Ascension,Vindicator,,,,,,,,,,
451,Iaoei Re - Divine #451,Sacred Peach,Focus,Imbued,Toxic,Hazel,Blessed Stud,Sunrise,Vitality Toga,Silver Rings,Emerald,Pierced Crown,Vindicator,,,,,,,,,,
452,Orauoren Ray - Divine #452,Floral,Retribution,Cosmic,Pursed Frozen,Frost,Silver Hoop,Shimmering,Shimmering Dress,Harspiera's Tears,Obsidian,Druidic Crown,Vindicator,,,,,,,,,,
453,Ar Ialiave - Divine #453,Heated,Rejuvenation,Tainted,Pursed Void,Passionate,Golden Bridge,Tainted,Robes of Nature,Silver Barbs,Golden Stars,Golden Chandelier,Vindicator,,,,,,,,,,
454,Ula Ariera - Divine #454,Sacred Peach,Warm,Tainted,Deep Sea,Life Giving,Silver Bridge,Electric,Arcane Cape,Stones of Life,Golden Tears,Golden Gladiator,Vindicator,,,,,,,,,,
455,Conjuror Yeive - Divine #455,Natural,Tranquility,Airtorn,Toxic,,Chain of Pearls,Conjuror,Gold Librarian,Silver Divine,Emerald,Rejuvenating Horns,Apostle,,,Last Hope,,,,,,,
456,Master Ieel - Divine #456,Sky,Focus,Drake-Tempered,Pursed Amber,,Silver Hoop,Master,Plates of Nature,Aegian,Silver Charged,Coils of Ambience,Apostle,,,Spirit,,,,,,,
457,Tor Uula - Divine #457,Ochre,Warm,Tainted,Pursed Crimson,Life Taking,Silver Slack,Winter,Purity Gown,Silver Divine,Golden Dreamcatchers,Revitalized Crown,Vindicator,,,,,,,,,,
458,Tempest Meelle - Divine #458,Lilac,Harmonic,Serpentheart,Amber,,Golden Bridge,Tempest,Mystic Tassel,The Breath of Infinity,Obsidian,Gems of Life,Apostle,,,Guidance,,,,,,,
